Country Name;Country Code;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;;;;;;;98,64743042;102,2934418;104,9777832;101,5850067;100,7814713;100,6715012;108,439621;100,3224869;100,7520828;100,1901703;98,82853699;109,0551224;;;;;;144,7201385;145,138092;143,2559509;134,6220398;137,2876434;;128,7485242
Africa Eastern and Southern;AFE;24,07465935;24,39262009;24,69508934;25,4592495;25,5465107;25,54854012;26,36338043;26,95705032;27,42118073;28,49666023;29,36655998;30,71574974;31,81059074;33,36571884;34,54325867;35,62342072;36,5236702;37,65296936;38,61574936;39,73820877;39,68925095;40,26704025;40,83914185;41,1385498;41,65008163;42,32752991;42,76934052;42,91316986;;
Afghanistan;AFG;11,93978977;;;;;;0;;6,969200134;6,389190197;9,679690361;15,32830048;15,35136032;22,78845024;28,31757927;33,0262413;36,98162842;38,55142975;38,72290039;38,53305817;37,82278824;38,58327866;39,93785858;41,35071182;;;;;;
Africa Western and Central;AFW;17,16711044;17,40707016;17,5678997;17,73517036;18,1966095;18,78286934;20,19407082;20,63586044;22,5834198;24,17468071;25,20433998;25,38739967;25,37667084;28,1702404;30,88718033;33,98962021;35,59038162;37,8155899;42,52061081;38,78781128;40,36996078;39,09186172;39,74065018;40,47642136;42,07653046;43,32696152;44,39466858;44,93846893;46,11320114;46,06732941
Angola;AGO;;;;10,49534035;10,19822025;12,10400009;13,23320961;14,73159981;;;;;;19,91744995;21,15879059;22,98756981;22,3924408;;;;;42,9851257;;;;;49,42862743;;48,11753947;
Albania;ALB;;;;;;;;;;77,12577057;80,97823334;82,54766846;84,59371185;85,94386292;88,45674133;91,19223785;92,29814911;94,21911621;99,1101651;98,90645997;99,09932281;96,65608539;94,92334685;95,84954506;95,53750278;92,29982715;94,35566047;93,22809566;92,66829312;106,7157364
Andorra;AND;;;;;;;;86,01093292;85,63800812;81,91918945;89,47618866;87,22727203;86,09210968;87,12644196;86,32054138;89,53859711;87,3739624;88,59648895;87,86701202;89,31494904;90,85391998;95,56044006;95,41484833;97,80368042;96,31111145;96,99912262;98,02320862;98,01603699;99,46874237;101,4758682
Arab World;ARB;50,38967133;50,04854965;51,56700897;53,4675293;54,87577057;56,19607162;57,59177017;58,71112823;60,53318024;61,9100914;61,6643486;61,96171951;61,05924988;61,10594177;62,87779999;63,3116188;65,20379639;65,39472198;63,53615952;63,95555878;64,52536774;64,82556152;65,43553162;65,68681335;66,19251251;66,16641998;66,82926941;68,37801361;67,67636108;68,0927887
United Arab Emirates;ARE;;;;;;;;;;;;;;;;;;;;;;;;101,1199722;101,1397775;99,13709295;102,0686313;102,2347717;102,1951208;100,1102764
Argentina;ARG;;83,14433289;78,34739685;83,46128082;96,17324829;99,80941772;101,4116135;100,7547989;100,1393738;100,1941299;98,78633881;98,03613281;98,1988678;99,5787735;102,5768967;104,5006714;106,7339935;107,9758301;109,2410965;110,3636093;111,4915466;112,8744431;113,5300903;112,8695374;113,6058731;115,8787918;119,1815109;117,5660095;107,9807309;
Armenia;ARM;;;;;;88,59024811;;;;;;;94,73610687;93,95305634;99,47276306;104,2803268;92,73712158;;86,45593262;86,61898041;86,14237976;;;82,69292335;86,60989415;87,51634407;89,59611596;90,12154251;88,22320177;90,13469547
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;;;;;;78,47839355;;;;;;;112,9650497;121,6292114;120,9989014;117,9781418;116,9150085;126,2045593;;115,915657;119,0180435;;115,8133926;119,6109238;;;;107,7373613;109,0040086;
Australia;AUS;;;;;;;;;;;;;;;;;;;;;147,5843964;144,4012909;144,5345306;132,3542175;139,6168365;135,490799;133,3471832;130,5630798;131,0973358;
